Resumo,Chave da item,ID da item,Tipo de item,Status,Chave do projeto,Nome do projeto,Líder do projeto,Descrição,Prioridade,Responsável,Módulo,Tipo de Teste,Passos,Comportamento Esperado,Comportamento Atual
HOME-03 - Exibir links principais no cabeçalho,CA-34,10231,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Exibir links principais no cabeçalho,Média,Izadora Santos de Sousa,UI - Interface e Navegação,Manual,Verificar cabeçalho,"Links para Login, Filmes, Reservas e Perfil visíveis",
HOME-01 - Exibir banner e filmes em cartaz,CA-33,10230,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Exibir banner e filmes em cartaz,Alta,Izadora Santos de Sousa,UI - Interface e Navegação,Manual,Acessar página inicial e testar botões e links,Banner visível e seção com pôsteres dos filmes,
AUTH-08 - Realizar logout com sucesso,CA-32,10229,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Realizar logout com sucesso,Alta,Izadora Santos de Sousa,Autenticação,Automatizado,"Clicar no botão ""Sair"" estando logado","Token removido, redirecionado para /login",
RES-07 - Cancelar reserva existente,CA-31,10228,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Cancelar reserva existente,Média,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Automatizado,Enviar DELETE /reservations/{id válido},"Status 200, confirmação da exclusão",
RES-05 - Buscar reserva sem autenticação,CA-30,10227,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Buscar reserva sem autenticação,Alta,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Automatizado,Enviar GET /reservations sem token,"Status 401, acesso negado",
RES-03 - Atualizar reserva existente,CA-29,10226,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Atualizar reserva existente,Média,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Automatizado,Enviar PUT /reservations/{id} com status e paymentStatus,"Status 200, dados atualizados",
RES-02 - Buscar reservas do usuário,CA-28,10225,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Buscar reservas do usuário,Média,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Automatizado,Enviar reservations/me com token user,"Status 200, retorna reservas do usuário",
RES-01 - Buscar todas as reservas (admin),CA-27,10224,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Buscar todas as reservas (admin),Média,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Automatizado,Enviar GET /reservations com token admin,"Status 200, retorna lista de reservas",
SES-05 - Excluir sessão,CA-26,10223,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Excluir sessão,Média,Izadora Santos de Sousa,Sessões - Gerenciamento,Automatizado,Enviar DELETE /sessions/686412a30b46c0776345ea0e,"status 200, mensagem de sucesso",
SES-04 - Atualiza sessão,CA-25,10222,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Atualiza sessão,Média,Izadora Santos de Sousa,Sessões - Gerenciamento,Automatizado,Enviar Put /sessions/686412a30b46c0776345ea0e,Status 200,
SES-03 - Buscar sessão com id válido,CA-24,10221,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Buscar sessão com id válido,Média,Izadora Santos de Sousa,Sessões - Gerenciamento,Automatizado,Enviar GET /api/v1/sessions/686412a30b46c0776345ea0e,"Status 200, com informações sobre o a sessão",
SES-01 - Listar sessões disponíveis,CA-22,10219,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Listar sessões disponíveis,Média,Izadora Santos de Sousa,Sessões - Gerenciamento,Automatizado,Enviar GET /api/v1/sessions,"Status 200, retorna lista com sessões",
MOV-05 - Excluir filme inexistente,CA-21,10218,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Excluir filme inexistente,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Automatizado,Enviar DELETE /movies/id_invalido,"Status 404, mensagem de erro",
MOV-04 - Excluir filme existente,CA-20,10217,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Excluir filme existente,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Automatizado,Enviar DELETE /movies/{id válido},Status 200,
MOV-03 - Buscar filme com ID inválido,CA-19,10216,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Buscar filme com ID inválido,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Automatizado,Enviar GET /movies/id_invalido,"Status 404 ou 400, mensagem de erro",
MOV-02 - Buscar filme por ID válido,CA-18,10215,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Buscar filme por ID válido,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Automatizado,Enviar GET /movies/{id válido},"Status 200, retorna os dados do filme",
MOV-01 - Listar todos os filmes,CA-17,10214,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Listar todos os filmes,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Automatizado,Enviar GET /movies,Status 200 + lista de filmes,
NAV-03 - Acessar rota protegida sem login,CA-16,10213,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Acessar rota protegida sem login,Alta,Izadora Santos de Sousa,UI - Interface e Navegação,Automatizado,GET /perfil ou /minhas-reservas sem token,"Status 401, mensagem ""Acesso negado""",
AUTH-11 - Editar com campo inválido,CA-15,10212,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Editar com campo inválido,Baixa,Izadora Santos de Sousa,Autenticação,Automatizado,Enviar PUT /auth/profile com nome vazio,"Mensagem ""Campo obrigatório"", status 400",
AUTH-10 - Editar nome do perfil,CA-14,10211,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Editar nome do perfil,Baixa,Izadora Santos de Sousa,Autenticação,Automatizado,Enviar PUT /auth/profile com novo nome e senha atual,"Nome alterado, status 200",
AUTH-09 - Exibir dados do usuário logado,CA-13,10210,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Exibir dados do usuário logado,Média,Izadora Santos de Sousa,Autenticação,Automatizado,Enviar GET /auth/me com token válido,"Status 200 + Retorna nome, e-mail, token e função",
AUTH-06 - Login com e-mail inexistente,CA-12,10209,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Login com e-mail inexistente,Alta,Izadora Santos de Sousa,Autenticação,Automatizado,POST /auth/login com e-mail não registrado,"Status 401, mensagem ""Invalid email""",
AUTH-07 - Login com senha incorreta,CA-11,10208,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Login com senha incorreta,Alta,Izadora Santos de Sousa,Autenticação,Automatizado,Enviar POST /auth/login com senha errada,"Status 401, mensagem ""Invalid password""",
AUTH-05 - Login com credenciais válidas,CA-10,10207,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Login com credenciais válidas,Média,Izadora Santos de Sousa,Autenticação,Automatizado,Enviar POST para /login com e-mail e senha corretos,Status 200 + Token de autenticação,
AUTH-04 - Registrar com senha fraca,CA-9,10206,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Registrar com senha fraca,Média,Izadora Santos de Sousa,Autenticação,Automatizado,Enviar POST /auth/register com senha pequena “123”,"Mensagem ""Senha muito fraca"" ou status 401",
AUTH-03 - Registrar com e-mail mal formatado,CA-8,10205,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Registrar com e-mail mal formatado,Média,Izadora Santos de Sousa,Autenticação,Automatizado,"POST /auth/register com e-mail tipo ""test@""","Erro de validação, status 400",
AUTH-02 - Registrar com e-mail já usado,CA-7,10204,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Registrar com e-mail já usado,Média,Izadora Santos de Sousa,Autenticação,Automatizado,POST /auth/register com e-mail já existente,"Status 400, mensagem ""User already exists""",
AUTH-01 - Registro de usuário com dados válidos,CA-6,10203,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Registro de usuário com dados válidos,Média,Izadora Santos de Sousa,Autenticação,Automatizado,"Enviar POST para /auth/register com nome, e-mail válido e senha forte",Status 201 + Token de autenticação,
UI - Interface e Navegação,CA-5,10202,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,"",Baixa,Izadora Santos de Sousa,UI - Interface e Navegação,Manual,"N/A","N/A","N/A"
RESERVAS - Reserva de Assento,CA-4,10201,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,"",Baixa,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Manual,"N/A","N/A","N/A"
Sessões - Gerenciamento,CA-3,10200,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Gerenciamento de sessões,Baixa,Izadora Santos de Sousa,Sessões - Gerenciamento,Manual,"N/A","N/A","N/A"
Filmes - Gerenciamento,CA-2,10199,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Gerenciamento de filmes.,Baixa,Izadora Santos de Sousa,Filmes - Gerenciamento,Manual,"N/A","N/A","N/A"
AUTH - Autenticação,CA-1,10198,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Login e registro de usuário,Baixa,Izadora Santos de Sousa,Autenticação,Manual,"N/A","N/A","N/A"
CHECKOUT,CA-46,10269,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,"",Baixa,Izadora Santos de Sousa,CHECKOUT,Manual,"N/A","N/A","N/A"
Reserva,CA-47,10270,Epic,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,"",Baixa,Izadora Santos de Sousa,Reserva,Manual,"N/A","N/A","N/A"
